id,education,marital_status,income,num_kid,num_teen,days_last_purchases,total_juice_expenses,total_fruit_expenses,total_meat_expenses,total_fish_expenses,total_sweet_expenses,num_deal_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_per_month
2861,Graduation,Single,24072.0,1,0,79,9,1,6,3,0,1,1,0,2,8
663,PhD,Single,33996.0,0,0,46,40,2,15,8,0,1,1,1,3,4
10675,PhD,Married,66334.0,0,1,82,909,11,218,0,0,2,9,3,5,5
2521,Master,Married,35178.0,1,0,10,23,1,13,2,2,1,1,1,2,7
9592,Graduation,Together,22010.0,1,0,51,11,2,9,3,0,2,2,0,3,8
10151,Graduation,Divorced,62204.0,0,2,38,317,46,247,151,46,1,4,5,12,3
7381,Graduation,Divorced,75693.0,0,0,10,797,153,293,72,97,1,11,4,6,4
4099,Graduation,Married,30675.0,1,0,14,10,2,16,11,2,1,1,0,3,8
9560,Graduation,Together,83003.0,0,0,18,856,61,570,40,25,1,7,6,8,3
1150,PhD,Together,83532.0,0,0,36,755,144,562,104,64,1,4,6,4,1
10172,Graduation,Single,68655.0,0,0,95,456,19,832,75,118,1,4,5,11,3
11191,Graduation,Divorced,41411.0,0,0,11,37,32,38,11,3,1,2,1,4,6
9707,PhD,Married,55212.0,0,1,65,1103,0,45,0,0,3,4,2,11,8
6245,PhD,Together,59292.0,0,1,71,378,14,68,19,14,2,3,5,8,3
8234,Basic,Together,27190.0,1,0,13,1,6,7,0,1,1,1,0,2,8
1411,Graduation,Divorced,82623.0,0,0,58,204,34,204,172,153,1,2,9,4,1
8553,Graduation,Married,44300.0,1,1,65,30,0,9,0,0,2,1,0,3,6
1826,Graduation,Divorced,84835.0,0,0,0,189,104,379,111,189,1,4,4,6,1
8842,Graduation,Widow,30372.0,1,1,33,15,0,12,7,3,3,2,0,3,7
11030,Master,Married,33181.0,1,0,90,9,0,3,0,0,1,1,0,2,6
2579,Graduation,Married,71113.0,0,1,95,495,33,255,11,33,4,6,7,9,4
175,Graduation,Married,71952.0,1,0,93,656,80,455,52,107,2,8,4,8,4
9185,PhD,Single,69759.0,0,0,38,452,20,514,13,30,3,4,6,5,3
11056,Graduation,Married,72099.0,0,0,18,546,91,410,119,0,1,3,4,10,1
9365,PhD,Single,60000.0,0,1,57,1048,0,217,0,0,5,11,3,5,6
6201,Graduation,Single,38643.0,1,1,45,22,2,14,0,1,2,2,0,3,7
2061,Graduation,Married,50737.0,0,1,61,78,0,11,0,0,1,2,0,4,6
6184,PhD,Married,68462.0,0,0,6,561,64,785,84,128,1,3,3,8,1
6142,Master,Married,65073.0,0,0,65,629,17,177,69,0,1,5,3,5,2
4107,PhD,Together,46681.0,0,2,52,269,15,69,15,19,2,4,6,4,5
7274,Graduation,Married,78618.0,0,0,87,736,163,818,212,163,1,4,7,10,2
9336,PhD,Widow,62187.0,0,1,38,512,0,83,0,0,3,6,2,10,4
2958,Graduation,Married,28442.0,2,0,53,19,3,10,11,8,3,2,1,4,4
933,PhD,Married,37717.0,1,0,31,9,0,6,4,1,1,1,0,2,9
5837,Graduation,Married,51479.0,1,1,67,247,8,160,6,8,7,6,3,6,7
10704,Graduation,Single,54803.0,0,1,65,404,0,92,28,27,2,6,2,9,4
5125,Graduation,Married,79530.0,0,0,64,333,0,815,129,42,1,4,10,11,2
4432,Graduation,Divorced,31615.0,1,0,82,2,3,20,6,11,2,2,0,3,7
5955,Graduation,Together,72025.0,0,0,27,833,33,549,151,133,1,4,3,8,3
2928,PhD,Single,52614.0,0,1,63,789,0,142,12,9,2,2,4,8,8
5680,2n Cycle,Married,35684.0,1,0,66,10,4,7,0,6,1,1,0,3,6
10313,Graduation,Married,48178.0,1,1,69,159,4,45,6,2,6,5,1,4,8
2557,Master,Single,29548.0,1,0,52,7,1,6,3,1,1,1,1,2,4
1245,Graduation,Single,63810.0,0,1,45,977,12,253,16,12,4,4,3,12,8
1519,PhD,Single,38578.0,1,1,2,38,4,22,3,3,3,3,0,3,8
10703,Master,Single,46098.0,1,1,86,57,0,27,0,0,4,3,2,2,8
1726,Graduation,Single,22585.0,0,0,23,3,9,15,13,2,1,1,1,2,9
4459,Graduation,Single,30279.0,1,0,13,10,4,14,4,4,1,1,0,3,8
1729,PhD,Together,66426.0,0,1,14,1043,24,97,32,24,2,3,5,10,6
1517,Graduation,Single,30822.0,1,0,92,3,9,13,2,12,1,1,0,3,7
2098,PhD,Married,33581.0,2,0,38,11,0,5,0,0,1,1,0,2,8
9543,Graduation,Married,19986.0,1,0,74,3,6,5,0,2,1,0,0,3,7
6878,Graduation,Widow,27421.0,0,0,14,43,12,96,78,40,3,4,1,6,7
3310,2n Cycle,Married,35688.0,2,1,94,73,3,90,12,1,7,4,1,4,8
2724,Master,Single,36143.0,1,0,33,12,0,1,0,0,1,0,1,2,3
948,Graduation,Single,10245.0,1,0,32,4,7,7,6,4,3,1,2,2,5
6720,Master,Together,43795.0,0,1,11,314,11,53,4,3,3,7,3,4,7
6202,Graduation,Together,63381.0,0,1,78,571,50,142,33,50,4,4,5,13,2
2066,Graduation,Together,38823.0,0,1,56,70,0,11,2,8,1,2,1,3,6
9799,PhD,Divorced,83664.0,1,1,57,866,21,151,28,21,3,2,2,12,5
8318,Graduation,Together,90300.0,0,0,7,594,134,786,33,134,0,5,6,8,1
5642,Master,Together,62499.0,1,0,0,140,4,61,0,13,2,3,1,6,4
2669,Graduation,Single,74293.0,0,0,66,375,152,335,93,91,1,5,4,6,2
455,PhD,Married,51012.0,0,0,86,102,9,63,2,9,1,4,1,4,6
7683,Master,Married,70777.0,0,1,80,554,35,113,0,7,3,5,3,12,3
3428,PhD,Together,68682.0,0,0,56,919,0,505,99,30,1,4,9,10,2
7414,Graduation,Married,43824.0,1,1,18,96,1,42,12,3,4,3,1,4,8
6354,Graduation,Together,15345.0,1,0,51,5,2,16,3,2,2,1,1,2,8
798,Graduation,Single,23442.0,1,0,71,2,0,6,8,6,1,1,0,3,7
8213,2n Cycle,Together,14515.0,1,0,71,6,4,9,6,36,4,2,2,3,7
2488,2n Cycle,Divorced,31395.0,1,1,80,23,1,25,0,8,4,2,1,3,6
9999,Graduation,Together,75276.0,0,0,2,610,105,125,137,42,1,9,4,9,5
7617,Graduation,Single,42373.0,1,1,83,67,5,61,3,8,5,2,1,5,5
615,Graduation,Together,30507.0,0,0,29,65,36,74,38,20,1,5,1,4,7
2552,PhD,Single,55521.0,1,2,11,416,0,26,0,0,9,6,3,6,7
194,Graduation,Married,48006.0,1,1,55,23,0,11,3,2,1,1,0,3,6
3645,PhD,Single,27213.0,1,0,19,19,3,26,10,9,3,2,0,4,8
8890,PhD,Divorced,65808.0,1,1,1,155,7,80,13,7,3,5,1,5,6
5049,PhD,Together,30351.0,1,0,19,14,0,24,3,3,1,3,0,2,9
9973,Graduation,Married,50437.0,0,2,28,370,9,92,6,9,3,7,1,8,7
7301,2n Cycle,Single,23616.0,1,0,76,4,22,11,3,7,2,3,0,3,8
10882,Graduation,Married,53858.0,0,1,50,407,53,221,58,150,4,4,3,6,4
7030,PhD,Married,66465.0,0,1,1,1200,0,204,38,29,3,11,9,12,6
7422,Graduation,Single,46923.0,1,0,90,85,44,54,102,78,3,5,1,7,7
3523,Graduation,Together,75072.0,0,1,83,583,34,309,0,22,2,5,4,8,3
7106,PhD,Married,75865.0,0,0,73,483,0,591,156,0,1,3,5,10,1
6504,2n Cycle,Together,19789.0,1,0,24,2,5,9,28,6,3,2,1,3,5
5067,Graduation,Together,80134.0,0,0,11,966,26,282,52,26,1,2,7,11,5
4216,Graduation,Single,91065.0,0,0,33,822,114,108,179,137,1,7,9,9,3
8581,Master,Married,49505.0,1,1,4,604,0,100,19,0,9,10,2,8,8
5929,PhD,Married,37401.0,1,0,14,19,3,19,3,1,2,2,0,3,7
3129,Graduation,Married,30096.0,1,0,30,5,3,11,12,5,1,2,0,3,6
6528,Master,Together,18492.0,1,0,75,2,2,2,2,1,1,1,0,2,8
1361,Master,Married,82584.0,0,0,26,1076,68,103,29,91,1,3,4,8,1
6932,PhD,Married,93027.0,0,0,77,1285,42,716,55,0,0,7,10,5,2
7284,Graduation,Married,48686.0,1,2,8,10,0,7,2,0,1,1,0,2,8
1340,Graduation,Married,92910.0,0,0,42,551,137,792,179,103,1,6,7,13,1
8746,Graduation,Married,75433.0,1,0,28,800,0,297,0,34,2,2,5,10,6
5987,2n Cycle,Together,10404.0,1,0,52,2,2,11,10,6,2,1,0,4,5
3767,Graduation,Married,61314.0,0,1,1,378,0,189,97,172,2,5,5,12,3
3725,PhD,Single,84865.0,0,0,1,1248,16,349,43,16,1,2,4,9,4
4324,Graduation,Married,42387.0,1,0,42,235,0,235,19,4,5,8,1,7,8
238,2n Cycle,Together,67309.0,1,1,76,515,47,181,149,95,15,9,6,9,7
6694,Graduation,Married,75236.0,0,1,27,438,66,400,12,38,1,8,3,13,4
498,Graduation,Single,30015.0,1,0,28,25,0,22,2,3,2,1,0,4,5
9347,Master,Together,50943.0,0,1,49,31,0,7,2,0,1,1,0,3,5
9699,Graduation,Divorced,67272.0,0,1,12,357,35,271,28,28,3,6,2,12,5
10664,Master,Widow,51529.0,0,1,14,400,4,35,6,0,2,9,1,5,8
5455,PhD,Married,32011.0,1,0,89,99,0,15,2,1,3,2,1,4,7
456,2n Cycle,Married,7500.0,1,0,96,1,11,5,4,6,2,2,0,3,8
5012,Graduation,Married,28691.0,1,0,56,5,4,13,8,0,1,1,0,3,8
7495,PhD,Married,56223.0,0,1,72,77,28,31,16,0,2,2,1,5,4
5029,Graduation,Married,18100.0,0,0,14,3,1,2,4,3,1,0,0,3,5
10642,Graduation,Single,30279.0,1,0,13,10,4,14,4,4,1,1,0,3,8
2106,2n Cycle,Married,20130.0,0,0,99,0,6,3,7,6,1,1,0,3,8
10364,Graduation,Divorced,23295.0,0,0,72,0,0,1,2,12,1,1,0,2,8
5954,Master,Divorced,42618.0,1,0,92,76,14,74,13,5,2,5,0,4,8
1137,Graduation,Single,81246.0,0,0,87,398,190,537,61,156,1,4,5,7,1
2541,Graduation,Married,24027.0,1,0,7,14,7,11,11,0,2,2,0,3,8
1142,PhD,Married,55707.0,0,1,91,208,7,82,30,66,2,3,2,9,3
2276,Graduation,Single,57959.0,0,1,71,430,16,322,43,24,5,4,7,11,3
2807,Graduation,Married,56796.0,0,1,24,656,38,161,62,47,3,8,9,7,7
6471,Master,Single,36230.0,1,0,17,14,2,30,8,2,1,2,0,4,5
6131,2n Cycle,Married,70829.0,1,1,87,141,70,106,72,19,2,4,2,8,3
6233,Graduation,Married,65991.0,0,1,21,507,19,364,25,47,3,9,5,10,7
4148,Graduation,Married,38988.0,1,2,90,164,24,103,12,3,7,5,1,6,8
4947,2n Cycle,Single,89572.0,0,0,44,606,24,974,197,194,1,7,7,9,4
3225,Master,Married,42207.0,1,0,71,116,11,72,3,17,4,4,1,5,6
7540,Graduation,Married,50300.0,0,1,52,143,15,60,24,23,2,2,1,8,2
10648,2n Cycle,Together,66664.0,0,0,78,398,96,447,220,96,1,5,7,6,3
1992,Graduation,Married,60597.0,0,1,2,522,0,257,32,16,4,2,2,8,7
7851,Graduation,Widow,70165.0,0,0,60,161,0,253,199,191,1,3,7,11,1
8594,PhD,Widow,50520.0,0,1,25,112,0,6,2,1,2,3,1,3,6
7059,Graduation,Married,80124.0,0,0,47,483,84,398,205,84,1,3,7,8,1
2815,Graduation,Married,33183.0,1,0,46,7,5,39,17,15,2,4,0,3,7
2416,PhD,Single,66582.0,0,0,83,789,25,420,16,38,1,2,8,9,1
7999,PhD,Together,75261.0,0,0,17,1239,17,413,23,34,1,5,6,5,2
9213,Graduation,Widow,31880.0,1,0,13,4,1,5,2,0,1,1,0,2,8
9697,Graduation,Married,53790.0,0,2,86,335,42,127,28,5,3,7,2,8,6
3916,PhD,Together,49269.0,1,0,92,639,8,166,11,8,3,7,3,12,7
2021,Graduation,Married,61456.0,0,1,47,563,76,384,84,192,4,6,10,13,4
1581,Graduation,Married,37406.0,1,0,18,2,0,8,2,2,1,1,0,2,8
564,PhD,Together,56937.0,1,0,81,746,8,125,11,8,7,8,6,9,6
6619,Graduation,Married,38415.0,1,1,91,22,1,13,4,0,2,1,0,3,7
9081,Graduation,Single,20518.0,1,0,58,4,1,6,4,1,1,1,1,2,5
178,Graduation,Married,62503.0,0,1,40,478,0,193,110,75,4,8,3,11,5
916,PhD,Single,41644.0,1,1,67,20,3,4,2,0,2,1,0,3,3
5512,Master,Married,55842.0,0,1,19,451,0,39,0,4,1,7,1,8,5
8970,PhD,Married,62010.0,0,1,93,371,22,39,6,0,4,6,2,7,5
10581,Graduation,Married,41124.0,1,0,41,281,7,84,15,0,7,7,3,4,8
5300,Master,Married,38961.0,1,0,60,19,7,19,0,1,1,2,1,2,7
5154,Master,Divorced,37760.0,1,0,54,26,3,13,2,10,1,2,0,3,6
8346,Graduation,Single,32233.0,1,0,26,138,15,35,25,11,2,6,2,2,9
1676,Graduation,Married,43057.0,0,1,30,213,2,44,0,2,4,4,2,5,5
9286,Master,Together,83151.0,0,0,93,407,28,100,120,74,1,5,9,4,3
2426,PhD,Divorced,78825.0,0,0,35,483,74,114,169,37,1,5,10,13,3
5172,Master,Together,65104.0,0,1,4,738,0,232,13,20,2,3,5,7,7
5562,Graduation,Married,60093.0,0,1,92,502,12,109,16,6,2,7,2,10,6
3436,Graduation,Married,14045.0,1,0,24,11,0,5,2,1,1,1,0,3,7
3921,2n Cycle,Widow,28457.0,0,0,96,24,1,108,29,29,1,4,1,4,8
3403,PhD,Together,78952.0,0,1,11,1170,19,594,99,76,2,2,5,12,6
22,Graduation,Divorced,46310.0,1,0,99,185,2,88,15,5,2,6,1,5,8
10965,Graduation,Together,76005.0,0,0,72,983,20,389,240,50,1,3,5,13,6
9426,Master,Single,58308.0,0,1,77,691,0,69,10,0,4,2,6,3,8
6605,PhD,Divorced,55614.0,0,0,85,504,13,131,8,0,1,9,4,6,7
3136,Master,Divorced,59432.0,0,1,88,317,25,265,25,19,3,5,3,11,5
8737,Graduation,Divorced,55563.0,0,1,22,29,1,9,2,0,1,2,0,3,3
11088,PhD,Together,78642.0,0,1,83,1396,0,322,46,35,1,4,9,4,6
716,PhD,Together,67911.0,0,1,63,529,0,356,63,28,3,6,7,11,3
466,Graduation,Married,65275.0,0,0,9,388,14,218,91,14,1,4,3,13,2
