Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Male,23,1,3.0,1,< 1 Year,No,30392.0,160.0,23,0
Female,28,1,11.0,1,< 1 Year,No,22195.0,152.0,240,0
Male,46,1,32.0,1,1-2 Year,No,37468.0,26.0,122,0
Female,23,1,28.0,0,< 1 Year,Yes,33928.0,26.0,299,0
Male,56,1,48.0,0,1-2 Year,Yes,2630.0,124.0,264,0
Female,28,1,12.0,0,< 1 Year,Yes,36117.0,152.0,30,0
Male,64,1,28.0,0,1-2 Year,No,55120.0,122.0,10,0
Male,25,1,46.0,1,< 1 Year,No,16938.0,152.0,255,0
Female,21,1,30.0,1,< 1 Year,No,21020.0,152.0,207,0
Male,73,1,28.0,0,1-2 Year,Yes,39517.0,124.0,154,0
Male,33,1,10.0,0,< 1 Year,Yes,35344.0,124.0,42,0
Male,24,1,12.0,1,< 1 Year,No,41990.0,152.0,113,0
Female,62,1,8.0,1,1-2 Year,Yes,45838.0,26.0,151,0
Female,49,1,3.0,1,1-2 Year,No,35784.0,26.0,35,0
Male,23,1,6.0,1,< 1 Year,No,33900.0,152.0,134,0
Male,40,1,23.0,0,1-2 Year,Yes,33026.0,26.0,246,0
Female,24,1,28.0,1,< 1 Year,No,47046.0,152.0,35,0
Male,44,1,18.0,0,1-2 Year,Yes,37816.0,124.0,72,0
Male,24,1,28.0,1,< 1 Year,No,48804.0,151.0,25,0
Male,63,1,31.0,1,1-2 Year,No,2630.0,148.0,235,0
Male,46,1,41.0,0,1-2 Year,Yes,33963.0,150.0,183,0
Male,64,1,28.0,1,1-2 Year,No,53018.0,124.0,111,0
Male,20,1,47.0,0,< 1 Year,Yes,23006.0,160.0,10,0
Male,27,1,8.0,1,< 1 Year,No,40258.0,152.0,213,0
Female,26,1,46.0,1,< 1 Year,No,22819.0,152.0,197,0
Male,23,1,11.0,1,< 1 Year,No,30873.0,152.0,299,0
Male,35,1,28.0,0,1-2 Year,Yes,2630.0,13.0,171,0
Male,22,1,40.0,1,< 1 Year,No,36935.0,160.0,173,0
Female,78,1,28.0,0,1-2 Year,Yes,39160.0,24.0,130,0
Male,57,1,41.0,1,1-2 Year,No,2630.0,160.0,241,0
Female,26,1,8.0,1,< 1 Year,No,59790.0,152.0,66,0
Female,55,1,48.0,0,1-2 Year,Yes,2630.0,15.0,53,0
Female,48,1,2.0,0,> 2 Years,Yes,29722.0,124.0,49,0
Female,24,1,14.0,1,< 1 Year,No,16614.0,152.0,266,0
Female,36,1,7.0,1,1-2 Year,No,33347.0,154.0,89,0
Male,24,1,23.0,0,< 1 Year,Yes,29214.0,152.0,147,0
Male,22,1,32.0,1,< 1 Year,No,2630.0,152.0,23,0
Male,20,1,36.0,0,< 1 Year,Yes,43076.0,160.0,211,0
Male,21,1,28.0,0,1-2 Year,Yes,2630.0,157.0,197,0
Male,33,1,39.0,1,< 1 Year,Yes,2630.0,160.0,288,0
Female,76,1,41.0,0,1-2 Year,Yes,37338.0,124.0,288,0
Female,29,1,21.0,1,< 1 Year,No,34608.0,152.0,78,0
Male,27,1,28.0,0,1-2 Year,No,40173.0,163.0,73,0
Male,23,1,15.0,1,< 1 Year,No,18465.0,160.0,103,0
Female,26,1,33.0,1,< 1 Year,No,36079.0,152.0,85,0
Male,31,1,8.0,1,< 1 Year,Yes,82968.0,152.0,110,0
Female,22,1,3.0,1,< 1 Year,No,30905.0,152.0,272,0
Female,49,1,46.0,0,1-2 Year,Yes,39223.0,26.0,264,0
Male,64,1,28.0,1,1-2 Year,No,2630.0,26.0,224,0
Male,56,1,8.0,1,1-2 Year,No,49993.0,26.0,80,0
Male,23,1,8.0,0,< 1 Year,Yes,34680.0,152.0,191,0
Female,28,1,17.0,1,< 1 Year,No,2630.0,152.0,171,0
Female,25,1,28.0,1,< 1 Year,No,39177.0,152.0,91,0
Male,43,1,28.0,0,1-2 Year,Yes,46264.0,26.0,10,0
Male,21,1,28.0,0,< 1 Year,Yes,40725.0,152.0,272,0
Male,25,1,15.0,0,< 1 Year,Yes,27713.0,152.0,168,0
Female,27,1,44.0,1,< 1 Year,No,2630.0,152.0,47,0
Female,22,1,28.0,1,< 1 Year,Yes,44633.0,154.0,142,0
Male,25,1,28.0,0,< 1 Year,Yes,28784.0,152.0,116,0
Male,22,1,8.0,1,< 1 Year,No,36692.0,152.0,107,0
Male,58,1,28.0,0,> 2 Years,Yes,56487.0,26.0,204,0
Male,23,1,26.0,1,< 1 Year,No,41292.0,152.0,152,0
Male,46,1,1.0,0,> 2 Years,Yes,2630.0,124.0,182,0
Female,47,1,11.0,0,1-2 Year,Yes,42766.0,26.0,227,0
Male,54,1,28.0,1,1-2 Year,No,47321.0,52.0,257,0
Female,23,1,34.0,0,< 1 Year,Yes,30799.0,26.0,270,0
Male,50,1,9.0,0,1-2 Year,Yes,38299.0,26.0,11,0
Female,25,1,21.0,1,< 1 Year,No,39656.0,152.0,46,0
Female,26,1,31.0,1,< 1 Year,No,2630.0,152.0,11,0
Male,32,1,28.0,1,< 1 Year,No,33086.0,152.0,112,0
Male,65,1,8.0,1,1-2 Year,No,34284.0,7.0,76,0
Female,24,1,34.0,1,< 1 Year,No,31121.0,152.0,259,0
Female,33,1,7.0,0,< 1 Year,No,28020.0,152.0,76,0
Female,26,1,30.0,1,< 1 Year,No,22681.0,152.0,81,0
Male,30,1,3.0,1,< 1 Year,No,24077.0,152.0,66,0
Male,23,1,28.0,1,< 1 Year,No,41501.0,152.0,24,0
Female,51,1,37.0,1,1-2 Year,No,33321.0,26.0,251,0
Female,26,1,41.0,1,< 1 Year,No,32873.0,152.0,246,0
Male,24,1,30.0,1,< 1 Year,No,27661.0,152.0,79,0
Male,25,1,41.0,1,< 1 Year,No,30275.0,152.0,141,0
Male,21,1,5.0,1,< 1 Year,No,32277.0,152.0,106,0
Female,68,1,18.0,0,> 2 Years,Yes,53453.0,26.0,117,0
Male,33,1,28.0,0,< 1 Year,Yes,41744.0,26.0,136,0
Male,27,1,10.0,0,< 1 Year,No,18731.0,152.0,63,0
Male,24,1,36.0,0,< 1 Year,Yes,35426.0,152.0,137,0
Male,51,1,46.0,1,1-2 Year,No,38134.0,152.0,184,0
Male,49,1,18.0,0,1-2 Year,Yes,2630.0,26.0,77,0
Female,27,1,41.0,1,< 1 Year,No,28120.0,152.0,234,0
Female,21,1,32.0,1,< 1 Year,No,2630.0,152.0,185,0
Male,24,1,15.0,1,< 1 Year,No,2630.0,152.0,244,0
Male,56,1,28.0,1,1-2 Year,No,49041.0,26.0,193,0
Male,43,1,8.0,0,1-2 Year,Yes,28373.0,26.0,99,0
Male,25,1,8.0,1,< 1 Year,No,32086.0,152.0,253,0
Female,38,1,25.0,1,1-2 Year,No,2630.0,152.0,220,0
Female,42,1,47.0,0,1-2 Year,Yes,31534.0,152.0,86,0
Male,60,1,28.0,0,1-2 Year,Yes,64199.0,26.0,276,0
Female,25,1,28.0,1,< 1 Year,No,43163.0,152.0,192,0
Male,46,1,50.0,0,1-2 Year,Yes,2630.0,154.0,192,0
Male,64,1,9.0,1,1-2 Year,No,42806.0,26.0,248,0
Male,43,1,5.0,0,1-2 Year,Yes,2630.0,156.0,284,0
Male,23,1,27.0,0,< 1 Year,No,2630.0,152.0,96,0
Male,46,1,8.0,0,1-2 Year,No,60650.0,155.0,243,0
Male,61,1,28.0,0,1-2 Year,Yes,39013.0,124.0,67,0
Female,43,1,48.0,1,1-2 Year,No,2630.0,15.0,68,0
Male,58,1,3.0,0,1-2 Year,Yes,31544.0,156.0,100,0
Male,76,1,28.0,0,1-2 Year,Yes,35276.0,122.0,160,0
Female,25,1,45.0,0,< 1 Year,Yes,2630.0,152.0,120,0
Female,49,1,28.0,0,1-2 Year,Yes,30560.0,26.0,115,0
Male,59,1,8.0,1,1-2 Year,No,40663.0,26.0,147,0
Male,33,1,28.0,0,< 1 Year,No,2630.0,1.0,95,0
Male,21,1,35.0,1,< 1 Year,No,33462.0,152.0,118,0
Male,60,1,8.0,1,1-2 Year,No,2630.0,26.0,275,0
Female,50,1,28.0,1,1-2 Year,No,49003.0,26.0,62,0
Female,22,1,46.0,1,< 1 Year,No,36114.0,152.0,258,0
Male,24,1,8.0,1,< 1 Year,No,36844.0,152.0,119,0
Male,28,1,28.0,0,< 1 Year,No,32026.0,152.0,97,0
Female,27,1,41.0,1,< 1 Year,No,37193.0,152.0,224,0
Female,25,1,28.0,1,< 1 Year,No,37967.0,154.0,82,0
Male,56,1,28.0,1,1-2 Year,No,2630.0,26.0,242,0
Male,58,1,28.0,1,1-2 Year,No,39877.0,52.0,57,0
Female,36,1,46.0,0,1-2 Year,Yes,26765.0,124.0,239,0
Female,43,1,30.0,0,> 2 Years,Yes,32739.0,26.0,173,0
Female,24,1,10.0,1,< 1 Year,No,35367.0,152.0,137,0
Female,23,1,30.0,1,< 1 Year,No,29892.0,152.0,85,0
Male,47,1,28.0,1,1-2 Year,No,34217.0,26.0,235,0
Male,25,1,28.0,0,< 1 Year,Yes,2630.0,152.0,111,0
Male,46,1,48.0,0,1-2 Year,No,2630.0,156.0,70,0
Male,22,1,11.0,1,< 1 Year,No,23096.0,152.0,225,0
Male,62,1,21.0,0,1-2 Year,No,18729.0,26.0,261,0
Male,23,1,28.0,1,< 1 Year,No,40449.0,152.0,140,0
Female,34,1,45.0,0,< 1 Year,Yes,30058.0,160.0,242,0
Female,37,1,28.0,1,1-2 Year,No,33303.0,124.0,220,0
Female,25,1,25.0,1,< 1 Year,No,28122.0,152.0,171,0
Male,35,1,28.0,1,1-2 Year,No,47967.0,23.0,74,0
Male,21,1,30.0,0,< 1 Year,Yes,25642.0,152.0,136,0
Female,53,1,27.0,1,1-2 Year,No,2630.0,154.0,125,0
Female,43,1,41.0,0,1-2 Year,Yes,2630.0,157.0,124,0
Male,23,1,11.0,1,< 1 Year,No,25295.0,152.0,110,0
Male,50,1,24.0,0,1-2 Year,Yes,31933.0,128.0,144,0
Female,24,1,18.0,1,< 1 Year,No,2630.0,152.0,11,0
Male,45,1,15.0,0,> 2 Years,Yes,39744.0,124.0,272,0
Female,23,1,30.0,0,< 1 Year,Yes,36647.0,151.0,167,0
Female,76,1,46.0,1,1-2 Year,No,38525.0,124.0,70,0
Male,23,1,36.0,1,< 1 Year,No,39965.0,152.0,190,0
Female,23,1,15.0,0,< 1 Year,Yes,39459.0,152.0,130,0
Male,63,1,43.0,0,1-2 Year,Yes,2630.0,26.0,298,0
Male,61,1,0.0,0,1-2 Year,No,2630.0,26.0,97,0
Female,21,1,26.0,0,< 1 Year,Yes,32148.0,160.0,24,0
Female,32,1,0.0,0,1-2 Year,Yes,2630.0,60.0,134,0
Male,41,1,46.0,0,1-2 Year,Yes,2630.0,93.0,191,0
Male,54,1,28.0,0,1-2 Year,Yes,43842.0,124.0,250,0
Male,47,1,33.0,1,1-2 Year,Yes,39316.0,124.0,283,0
Male,55,1,28.0,0,1-2 Year,Yes,33944.0,154.0,164,0
Female,77,1,52.0,1,1-2 Year,No,47284.0,26.0,19,0
Male,39,1,0.0,0,1-2 Year,Yes,2630.0,122.0,217,0
Female,24,1,26.0,1,< 1 Year,No,26446.0,152.0,93,0
Female,25,1,29.0,1,< 1 Year,No,51720.0,152.0,36,0
Male,22,1,30.0,1,< 1 Year,No,28946.0,160.0,159,0
Female,24,1,30.0,1,< 1 Year,No,29558.0,152.0,24,0
Female,27,1,50.0,1,< 1 Year,No,27444.0,152.0,129,0
Female,21,1,25.0,1,< 1 Year,Yes,32188.0,160.0,101,0
Male,56,1,8.0,0,1-2 Year,Yes,44350.0,152.0,218,0
Female,22,1,39.0,0,< 1 Year,No,37359.0,152.0,220,0
Male,51,1,45.0,1,1-2 Year,No,2630.0,124.0,184,0
Female,64,1,20.0,0,1-2 Year,Yes,2630.0,124.0,15,0
Male,60,1,28.0,0,> 2 Years,Yes,52778.0,25.0,274,0
Female,77,1,4.0,1,1-2 Year,Yes,29610.0,26.0,92,0
Female,65,1,15.0,1,1-2 Year,No,2630.0,160.0,269,0
Female,28,1,15.0,1,< 1 Year,No,2630.0,152.0,12,0
Male,50,1,28.0,0,1-2 Year,Yes,45632.0,55.0,279,0
Female,24,1,30.0,1,< 1 Year,No,22663.0,152.0,68,0
Female,22,1,13.0,1,< 1 Year,No,30476.0,152.0,40,0
Female,59,1,8.0,0,1-2 Year,Yes,36374.0,124.0,193,0
Female,28,1,13.0,0,< 1 Year,No,21928.0,152.0,91,0
Female,26,1,15.0,0,< 1 Year,No,33351.0,152.0,143,0
Male,41,1,28.0,0,1-2 Year,Yes,26751.0,122.0,108,0
Female,22,1,45.0,0,< 1 Year,Yes,45612.0,152.0,108,0
Female,33,1,15.0,0,1-2 Year,Yes,2630.0,156.0,104,0
Female,29,1,9.0,1,< 1 Year,No,2630.0,152.0,293,0
Female,40,1,15.0,1,1-2 Year,No,29454.0,152.0,58,0
Female,25,1,15.0,1,< 1 Year,No,33278.0,152.0,297,0
Female,27,1,28.0,0,< 1 Year,No,2630.0,1.0,26,0
Female,42,1,28.0,0,1-2 Year,No,32768.0,26.0,46,0
Male,22,1,45.0,1,< 1 Year,No,30463.0,152.0,211,0
Male,70,1,28.0,1,1-2 Year,No,42772.0,26.0,170,0
Female,22,1,8.0,0,< 1 Year,Yes,28507.0,163.0,60,0
Female,52,1,18.0,0,1-2 Year,No,37948.0,124.0,218,0
Female,23,1,8.0,1,< 1 Year,No,43686.0,152.0,71,0
Female,21,1,41.0,0,< 1 Year,Yes,36232.0,152.0,81,0
Male,60,1,28.0,0,1-2 Year,No,25178.0,26.0,138,0
Male,72,1,8.0,1,1-2 Year,No,34397.0,7.0,164,0
Female,44,1,20.0,0,> 2 Years,Yes,2630.0,124.0,109,0
Female,22,1,46.0,0,< 1 Year,Yes,2630.0,163.0,56,0
Male,48,1,8.0,1,1-2 Year,No,39974.0,26.0,288,0
Female,27,1,8.0,1,< 1 Year,No,27567.0,152.0,145,0
Female,24,1,10.0,1,< 1 Year,No,30833.0,152.0,73,0
Male,56,1,28.0,1,1-2 Year,No,2630.0,52.0,23,0
Female,22,1,3.0,1,< 1 Year,No,24110.0,152.0,225,0
Female,45,1,28.0,1,1-2 Year,No,44864.0,26.0,13,0
Female,27,1,11.0,1,< 1 Year,No,25445.0,152.0,144,0
Female,30,1,41.0,0,< 1 Year,Yes,43979.0,152.0,143,0
Female,25,1,35.0,1,< 1 Year,No,33591.0,152.0,251,0
Male,47,1,50.0,1,1-2 Year,No,37743.0,25.0,177,0
Male,79,1,28.0,1,1-2 Year,No,2630.0,26.0,123,0
Male,25,1,25.0,0,< 1 Year,No,23162.0,152.0,83,0
Female,24,1,33.0,1,< 1 Year,No,31294.0,152.0,238,0
Male,52,1,28.0,0,> 2 Years,Yes,39126.0,26.0,152,0
Male,27,1,18.0,1,< 1 Year,No,20473.0,152.0,286,0
Female,40,1,49.0,0,1-2 Year,Yes,29493.0,124.0,94,0
Male,24,1,15.0,1,< 1 Year,No,2630.0,151.0,117,0
Female,22,1,22.0,1,< 1 Year,No,26436.0,152.0,64,0
Female,22,1,11.0,1,< 1 Year,No,21234.0,152.0,237,0
Male,43,1,28.0,0,1-2 Year,No,34201.0,124.0,41,0
Male,21,1,30.0,1,< 1 Year,No,25987.0,152.0,99,0
Female,72,1,28.0,0,1-2 Year,Yes,31137.0,124.0,201,0
Male,62,1,28.0,0,1-2 Year,Yes,51557.0,26.0,15,0
Female,75,1,46.0,0,1-2 Year,No,23608.0,11.0,117,0
Female,25,1,19.0,1,< 1 Year,No,35101.0,152.0,267,0
Male,24,1,27.0,0,< 1 Year,No,31132.0,152.0,227,0
Male,46,1,8.0,1,1-2 Year,No,2630.0,124.0,201,0
Female,33,1,28.0,1,< 1 Year,No,46631.0,152.0,163,0
Male,27,1,28.0,1,< 1 Year,No,39974.0,152.0,98,0
Female,34,1,6.0,0,1-2 Year,Yes,29522.0,152.0,188,0
Male,69,1,19.0,0,> 2 Years,Yes,36216.0,26.0,109,0
Male,55,1,28.0,0,1-2 Year,Yes,37142.0,124.0,134,0
Male,61,1,28.0,0,1-2 Year,Yes,26691.0,26.0,223,0
Male,50,1,30.0,1,1-2 Year,No,25936.0,124.0,54,0
Male,45,1,28.0,0,1-2 Year,Yes,34579.0,124.0,94,0
Female,45,1,40.0,1,1-2 Year,No,29110.0,26.0,130,0
Female,43,1,3.0,0,1-2 Year,Yes,26667.0,124.0,62,0
Female,26,1,3.0,1,< 1 Year,No,28100.0,152.0,224,0
Female,39,1,30.0,0,1-2 Year,Yes,25388.0,26.0,123,0
Male,28,1,26.0,1,< 1 Year,No,23095.0,160.0,145,0
Male,67,1,41.0,0,> 2 Years,Yes,35276.0,106.0,273,0
Male,36,1,28.0,1,1-2 Year,Yes,38222.0,26.0,75,0
Female,25,1,41.0,0,< 1 Year,Yes,54248.0,152.0,258,0
Female,21,1,18.0,0,< 1 Year,Yes,43969.0,163.0,197,0
Male,70,1,28.0,0,1-2 Year,Yes,31402.0,124.0,194,0
Female,48,1,45.0,1,1-2 Year,No,2630.0,160.0,54,0
Male,30,1,8.0,1,< 1 Year,No,33297.0,160.0,59,0
Male,26,1,8.0,1,< 1 Year,No,2630.0,152.0,19,0
Female,23,1,8.0,1,< 1 Year,No,34778.0,151.0,13,0
Female,42,1,28.0,0,1-2 Year,Yes,29330.0,26.0,280,0
Male,74,1,50.0,1,1-2 Year,No,44254.0,8.0,98,0
Female,30,1,49.0,1,< 1 Year,No,29281.0,152.0,56,0
Male,25,1,10.0,1,< 1 Year,No,30043.0,152.0,97,0
Female,61,1,28.0,0,> 2 Years,Yes,74344.0,122.0,175,0
Female,24,1,30.0,1,< 1 Year,No,27529.0,152.0,145,0
Male,56,1,41.0,0,1-2 Year,Yes,39044.0,26.0,181,0
Male,27,1,15.0,1,< 1 Year,No,28066.0,152.0,237,0
Male,25,1,37.0,1,< 1 Year,No,41696.0,152.0,31,0
Male,26,1,41.0,1,< 1 Year,No,31283.0,152.0,241,0
Female,23,1,8.0,1,< 1 Year,No,30270.0,152.0,240,0
Male,27,1,45.0,1,< 1 Year,No,26562.0,152.0,24,0
Female,52,1,28.0,0,1-2 Year,Yes,36000.0,154.0,80,0
Female,35,1,28.0,0,1-2 Year,Yes,33373.0,154.0,228,0
Female,25,1,41.0,1,< 1 Year,No,32003.0,152.0,272,0
Male,32,1,32.0,1,1-2 Year,No,2630.0,156.0,145,0
Female,51,1,18.0,1,1-2 Year,No,27168.0,26.0,159,0
Female,52,1,28.0,0,1-2 Year,Yes,35628.0,122.0,256,0
Female,69,1,28.0,0,1-2 Year,No,38321.0,124.0,240,0
Female,53,1,28.0,0,1-2 Year,Yes,77503.0,26.0,249,0
Female,23,1,30.0,1,< 1 Year,No,23031.0,152.0,202,0
Female,67,1,28.0,1,1-2 Year,No,2630.0,26.0,199,0
Female,25,1,3.0,0,< 1 Year,Yes,41454.0,152.0,215,0
Female,34,1,10.0,1,< 1 Year,No,27056.0,152.0,227,0
Male,26,1,22.0,0,< 1 Year,Yes,27489.0,152.0,63,0
Male,36,1,3.0,1,1-2 Year,No,31587.0,154.0,184,0
Female,27,1,18.0,1,< 1 Year,No,2630.0,152.0,193,0
Male,52,1,19.0,0,1-2 Year,Yes,32486.0,124.0,62,0
Female,21,1,24.0,0,< 1 Year,Yes,24756.0,152.0,119,0
Female,25,1,46.0,1,< 1 Year,No,25255.0,152.0,31,0
Female,64,1,19.0,0,> 2 Years,Yes,37755.0,156.0,117,0
Female,49,1,40.0,0,1-2 Year,Yes,35096.0,124.0,297,0
Female,23,1,33.0,1,< 1 Year,No,29019.0,152.0,31,0
Male,62,1,3.0,0,1-2 Year,Yes,21133.0,124.0,120,0
Female,48,1,32.0,1,1-2 Year,No,2630.0,152.0,96,0
Male,26,1,6.0,1,< 1 Year,No,39325.0,152.0,145,0
Male,43,1,28.0,0,1-2 Year,Yes,45179.0,124.0,64,0
Male,55,1,28.0,1,1-2 Year,No,33128.0,122.0,212,0
Male,25,1,29.0,1,< 1 Year,No,22162.0,152.0,50,0
Male,59,1,47.0,0,1-2 Year,Yes,35614.0,26.0,96,0
Female,51,1,39.0,1,1-2 Year,No,2630.0,124.0,76,0
Male,51,1,46.0,0,> 2 Years,Yes,24939.0,11.0,282,0
Male,23,1,36.0,0,< 1 Year,Yes,32392.0,152.0,287,0
Male,31,1,28.0,1,< 1 Year,No,57139.0,152.0,256,0
Male,32,1,30.0,0,1-2 Year,Yes,24196.0,163.0,22,0
Male,37,1,39.0,0,1-2 Year,Yes,2630.0,124.0,155,0
Female,22,1,29.0,1,< 1 Year,No,28208.0,152.0,186,0
Female,24,1,30.0,1,< 1 Year,No,25457.0,152.0,115,0
Female,62,1,48.0,1,1-2 Year,No,2630.0,15.0,288,0
Male,24,1,36.0,0,< 1 Year,Yes,2630.0,26.0,72,0
Female,22,1,8.0,1,< 1 Year,Yes,32319.0,160.0,38,0
Female,69,1,46.0,1,1-2 Year,No,23375.0,124.0,128,0
Female,22,1,15.0,0,< 1 Year,Yes,40333.0,152.0,125,0
Female,21,1,10.0,1,< 1 Year,No,31796.0,160.0,39,0
Male,46,1,41.0,1,1-2 Year,Yes,43903.0,26.0,195,0
Female,37,1,35.0,0,1-2 Year,No,2630.0,26.0,71,0
Female,46,1,8.0,0,1-2 Year,Yes,55769.0,26.0,129,0
Female,29,1,10.0,1,< 1 Year,No,37024.0,152.0,249,0
Female,23,1,30.0,1,< 1 Year,No,30628.0,152.0,93,0
Male,23,1,41.0,1,< 1 Year,No,24155.0,152.0,170,0
Male,23,1,8.0,1,< 1 Year,No,45552.0,152.0,44,0
Male,24,1,8.0,1,< 1 Year,No,45057.0,152.0,232,0
Female,45,1,4.0,1,1-2 Year,Yes,2630.0,26.0,98,0
Female,45,1,38.0,0,1-2 Year,Yes,2630.0,26.0,212,0
Male,56,1,49.0,0,1-2 Year,Yes,24780.0,26.0,62,0
Male,23,1,29.0,1,< 1 Year,No,44503.0,152.0,181,0
Female,33,1,7.0,0,1-2 Year,Yes,2630.0,156.0,263,0
Female,47,1,28.0,0,1-2 Year,Yes,34644.0,31.0,133,0
Male,59,1,28.0,1,1-2 Year,No,46116.0,124.0,254,0
Male,45,1,28.0,0,1-2 Year,Yes,34637.0,26.0,174,0
Male,37,1,8.0,1,1-2 Year,No,2630.0,30.0,205,0
Male,24,1,8.0,1,< 1 Year,No,43633.0,152.0,133,0
Female,34,1,33.0,1,1-2 Year,No,31424.0,152.0,252,0
Male,32,1,28.0,1,1-2 Year,No,43412.0,124.0,195,0
Female,22,1,30.0,1,< 1 Year,No,41627.0,152.0,236,0
Female,68,1,3.0,0,1-2 Year,No,20959.0,124.0,290,0
Male,40,1,41.0,1,1-2 Year,No,31722.0,26.0,67,0
Female,32,1,50.0,1,< 1 Year,No,2630.0,160.0,240,0
Female,29,1,15.0,1,< 1 Year,No,32923.0,152.0,34,0
Male,20,1,23.0,0,1-2 Year,Yes,31691.0,26.0,153,0
Male,45,1,28.0,0,1-2 Year,Yes,33903.0,25.0,143,0
Male,24,1,45.0,1,< 1 Year,No,25528.0,152.0,203,0
Female,22,1,29.0,1,< 1 Year,No,33946.0,152.0,113,0
Male,62,1,28.0,1,1-2 Year,No,41956.0,26.0,111,0
Male,26,1,41.0,1,< 1 Year,No,26757.0,152.0,220,0
Female,22,1,30.0,1,< 1 Year,No,37002.0,152.0,99,0
Female,23,1,11.0,1,< 1 Year,No,46455.0,26.0,11,0
Male,21,1,8.0,0,< 1 Year,Yes,46405.0,160.0,270,0
Male,36,1,28.0,0,1-2 Year,Yes,2630.0,26.0,248,0
Male,21,1,41.0,0,1-2 Year,No,2630.0,124.0,45,0
Male,35,1,8.0,1,1-2 Year,No,42545.0,152.0,40,0
Male,43,1,28.0,1,1-2 Year,No,51551.0,147.0,115,0
Female,47,1,28.0,0,1-2 Year,Yes,61412.0,26.0,213,0
Male,49,1,28.0,0,1-2 Year,Yes,49672.0,124.0,162,0
Female,25,1,14.0,1,< 1 Year,No,27601.0,152.0,268,0
Female,24,1,18.0,1,< 1 Year,No,38641.0,152.0,224,0
Male,23,1,10.0,1,< 1 Year,No,23491.0,152.0,134,0
Male,46,1,8.0,0,1-2 Year,Yes,41306.0,26.0,119,0
Male,44,1,46.0,1,1-2 Year,No,18484.0,124.0,251,0
Female,30,1,41.0,1,< 1 Year,No,31900.0,152.0,154,0
Male,49,1,50.0,0,1-2 Year,Yes,2630.0,26.0,15,0
Female,29,1,47.0,0,< 1 Year,Yes,32282.0,152.0,251,0
Male,22,1,28.0,1,< 1 Year,No,38024.0,152.0,157,0
Female,41,1,28.0,0,1-2 Year,Yes,43090.0,26.0,194,0
Female,23,1,41.0,0,< 1 Year,Yes,28877.0,155.0,42,0
Male,34,1,45.0,1,1-2 Year,No,42147.0,152.0,38,0
Female,24,1,8.0,1,< 1 Year,No,44122.0,152.0,120,0
Male,40,1,31.0,0,1-2 Year,No,2630.0,156.0,282,0
Male,60,1,8.0,0,1-2 Year,No,25612.0,26.0,197,0
Male,24,1,28.0,1,< 1 Year,No,54169.0,152.0,211,0
Female,23,1,11.0,0,1-2 Year,Yes,2630.0,156.0,67,0
Male,23,1,43.0,1,< 1 Year,No,95962.0,152.0,287,0
Female,42,1,36.0,0,1-2 Year,Yes,49519.0,26.0,126,0
Female,22,1,45.0,1,< 1 Year,No,2630.0,156.0,225,0
Male,48,1,47.0,0,1-2 Year,Yes,54480.0,124.0,76,0
Male,29,1,50.0,1,< 1 Year,No,45431.0,26.0,172,0
Male,32,1,28.0,1,< 1 Year,No,33327.0,152.0,101,0
Female,21,1,28.0,1,< 1 Year,No,52938.0,160.0,258,0
Male,37,1,36.0,0,1-2 Year,Yes,2630.0,26.0,154,0
Male,23,1,28.0,0,< 1 Year,Yes,47612.0,152.0,166,0
Female,66,1,28.0,1,1-2 Year,No,43562.0,13.0,168,0
Female,25,1,35.0,1,< 1 Year,No,30710.0,152.0,231,0
Female,39,1,11.0,1,1-2 Year,No,29269.0,124.0,258,0
Female,55,1,38.0,0,1-2 Year,Yes,33321.0,124.0,18,0
Female,23,1,6.0,1,< 1 Year,No,22606.0,152.0,25,0
Male,23,1,15.0,1,< 1 Year,No,25810.0,152.0,154,0
Male,60,1,50.0,0,1-2 Year,No,30288.0,30.0,145,0
Female,24,1,15.0,1,< 1 Year,No,2630.0,151.0,258,0
Female,23,1,30.0,1,< 1 Year,No,29551.0,152.0,154,0
Male,24,1,6.0,1,< 1 Year,No,33938.0,152.0,175,0
Male,24,1,43.0,1,< 1 Year,No,27628.0,152.0,45,0
Male,57,1,41.0,1,1-2 Year,No,38911.0,124.0,128,0
Male,29,1,8.0,0,1-2 Year,Yes,2630.0,163.0,80,0
Male,78,1,26.0,1,1-2 Year,Yes,47831.0,120.0,206,0
Male,62,1,8.0,0,> 2 Years,Yes,2630.0,157.0,63,0
Female,42,1,29.0,0,1-2 Year,Yes,23907.0,26.0,35,0
Female,28,1,11.0,1,< 1 Year,No,23513.0,160.0,255,0
Male,28,1,41.0,1,1-2 Year,No,2630.0,157.0,67,0
Female,41,1,28.0,1,1-2 Year,No,28409.0,124.0,245,0
Female,26,1,50.0,0,< 1 Year,Yes,35389.0,152.0,187,0
Female,28,1,46.0,1,< 1 Year,No,29689.0,152.0,139,0
Male,40,1,11.0,1,1-2 Year,No,21368.0,26.0,276,0
Female,48,1,37.0,0,1-2 Year,Yes,33724.0,124.0,273,0
Male,23,1,15.0,0,< 1 Year,Yes,32888.0,152.0,94,0
Female,34,1,28.0,0,< 1 Year,Yes,25828.0,152.0,213,0
Female,75,1,15.0,1,1-2 Year,No,39659.0,26.0,174,0
Female,26,1,29.0,1,< 1 Year,No,35300.0,152.0,85,0
